Carrera                              ,Puntaje_Minimo ,Cupos ,Año-Periodo
Administración_de_Empresas           ,      647.0439 ,   63 ,     2013.6
Antropología                         ,      651.2610 ,   41 ,     2013.6
Arquitectura                         ,      681.6122 ,   70 ,     2013.6
Biología                             ,      667.6719 ,   48 ,     2013.6
Ciencia_Política                     ,      635.4665 ,   69 ,     2013.6
Contaduría_Pública                   ,      635.1876 ,   54 ,     2013.6
Derecho                              ,      662.2048 ,   69 ,     2013.6
Diseño_Industrial                    ,      673.4618 ,   46 ,     2013.6
Economía                             ,      646.7871 ,  107 ,     2013.6
Enfermería                           ,      626.1738 ,   65 ,     2013.6
Español_Y_Filología_Clásica          ,      616.0371 ,   38 ,     2013.6
Estadística                          ,      637.4112 ,   53 ,     2013.6
Estudios_Literarios                  ,      638.2722 ,   37 ,     2013.6
Farmacia                             ,      649.9181 ,   67 ,     2013.6
Filología_e_Idiomas:_Alemán          ,      632.3257 ,   22 ,     2013.6
Filología_e_Idiomas:_Francés         ,      631.3155 ,   21 ,     2013.6
Filología_e_Idiomas:_Inglés          ,      638.0202 ,   42 ,     2013.6
Filosofía                            ,      628.9721 ,   39 ,     2013.6
Física                               ,      652.9659 ,   62 ,     2013.6
Fisioterapia                         ,      629.2461 ,   37 ,     2013.6
Geografía                            ,      624.5887 ,   35 ,     2013.6
Geología                             ,      730.1771 ,   42 ,     2013.6
Ingeniería_Agrícola                  ,      632.9592 ,   61 ,     2013.6
Ingeniería_Agronómica                ,      633.9475 ,   74 ,     2013.6
Ingeniería_Civil                     ,      681.1890 ,  104 ,     2013.6
Ingeniería_de_Sistemas_y_Computación ,      659.9544 ,   78 ,     2013.6
Ingeniería_Eléctrica                 ,      664.4504 ,   56 ,     2013.6
Ingeniería_Electrónica               ,      689.3859 ,   54 ,     2013.6
Ingeniería_Industrial                ,      714.9868 ,   44 ,     2013.6
Ingeniería_Mecánica                  ,      678.8775 ,   75 ,     2013.6
Ingeniería_Mecatrónica               ,      735.5756 ,   55 ,     2013.6
Ingeniería_Química                   ,      676.0865 ,  112 ,     2013.6
Lingüística                          ,      611.4458 ,   35 ,     2013.6
Matemáticas                          ,      652.1807 ,   41 ,     2013.6
Medicina                             ,      734.9494 ,  117 ,     2013.6
Medicina_Veterinaria                 ,      644.7739 ,   48 ,     2013.6
Nutrición_Y_Dietética                ,      627.1816 ,   41 ,     2013.6
Odontología                          ,      635.9019 ,   38 ,     2013.6
Psicología                           ,      647.5625 ,   78 ,     2013.6
Química                              ,      659.1521 ,   49 ,     2013.6
Sociología                           ,      633.8203 ,   50 ,     2013.6
Trabajo_Social                       ,      625.3812 ,   37 ,     2013.6
Zootecnia                            ,      620.7312 ,   39 ,     2013.6
Artes_Plásticas                      ,      590.9652 ,   26 ,     2013.6
Cine_Y_Televisión                    ,      623.3610 ,   25 ,     2013.6
Diseño_Gráfico                       ,      628.6911 ,   28 ,     2013.6

Administración_de_Empresas           ,      687.1057 ,   63 ,     2014.1
Antropología                         ,      673.5400 ,   42 ,     2014.1
Arquitectura                         ,      700.0368 ,   68 ,     2014.1
Biología                             ,      698.1085 ,   53 ,     2014.1
Ciencia_Política                     ,      657.8862 ,   74 ,     2014.1
Contaduría_Pública                   ,      656.6374 ,   60 ,     2014.1
Derecho                              ,      688.1520 ,   74 ,     2014.1
Diseño_Industrial                    ,      694.6187 ,   48 ,     2014.1
Economía                             ,      694.1394 ,   78 ,     2014.1
Enfermería                           ,      661.5651 ,   40 ,     2014.1
Español_Y_Filología_Clásica          ,      648.5012 ,   43 ,     2014.1
Estadística                          ,      655.5462 ,   55 ,     2014.1
Estudios_Literarios                  ,      727.7082 ,   15 ,     2014.1
Farmacia                             ,      674.6470 ,   68 ,     2014.1
Filología_e_Idiomas:_Alemán          ,      651.9100 ,   20 ,     2014.1
Filología_e_Idiomas:_Francés         ,      654.1736 ,   20 ,     2014.1
Filología_e_Idiomas:_Inglés          ,      668.2816 ,   40 ,     2014.1
Filosofía                            ,      650.6995 ,   43 ,     2014.1
Física                               ,      713.1660 ,   64 ,     2014.1
Fonoaudiología                       ,      640.7407 ,   42 ,     2014.1
Geografía                            ,      651.6963 ,   27 ,     2014.1
Geología                             ,      752.0855 ,   32 ,     2014.1
Historia                             ,      651.3295 ,   53 ,     2014.1
Ingeniería_Agrícola                  ,      654.3086 ,   64 ,     2014.1
Ingeniería_Agronómica                ,      650.2787 ,   80 ,     2014.1
Ingeniería_Civil                     ,      713.5508 ,  104 ,     2014.1
Ingeniería_de_Sistemas_y_Computación ,      700.1493 ,   84 ,     2014.1
Ingeniería_Eléctrica                 ,      700.4508 ,   62 ,     2014.1
Ingeniería_Electrónica               ,      720.3325 ,   63 ,     2014.1
Ingeniería_Industrial                ,      739.4536 ,   40 ,     2014.1
Ingeniería_Mecánica                  ,      721.8063 ,   72 ,     2014.1
Ingeniería_Mecatrónica               ,      775.0362 ,   49 ,     2014.1
Ingeniería_Química                   ,      704.5595 ,  121 ,     2014.1
Lingüística                          ,      640.4819 ,   43 ,     2014.1
Matemáticas                          ,      698.7205 ,   42 ,     2014.1
Medicina                             ,      749.8422 ,  121 ,     2014.1
Medicina_Veterinaria                 ,      664.8525 ,   48 ,     2014.1
Nutrición_Y_Dietética                ,      650.0200 ,   38 ,     2014.1
Odontología                          ,      650.2540 ,   45 ,     2014.1
Psicología                           ,      670.5451 ,   72 ,     2014.1
Química                              ,      683.2558 ,   63 ,     2014.1
Sociología                           ,      655.1209 ,   54 ,     2014.1
Terapia_Ocupacional                  ,      637.6896 ,   43 ,     2014.1
Trabajo_Social                       ,      644.1090 ,   43 ,     2014.1
Zootecnia                            ,      648.8747 ,   48 ,     2014.1
Artes_Plásticas                      ,      598.2112 ,   30 ,     2014.1
Cine_Y_Televisión                    ,      616.8080 ,   28 ,     2014.1
Diseño_Gráfico                       ,      638.0300 ,   28 ,     2014.1
Administración_de_Empresas           ,      654.7197 ,   73 ,     2014.6
Antropología                         ,      650.6982 ,   45 ,     2014.6
Arquitectura                         ,      663.5340 ,   70 ,     2014.6
Biología                             ,      661.2685 ,   58 ,     2014.6
Ciencia_Política                     ,      650.3642 ,   84 ,     2014.6
Contaduría_Pública                   ,      652.9383 ,   63 ,     2014.6
Derecho                              ,      653.3252 ,   81 ,     2014.6
Diseño_Gráfico                       ,      683.9402 ,   30 ,     2014.6
Diseño_Industrial                    ,      667.4512 ,   46 ,     2014.6
Economía                             ,      657.8794 ,   84 ,     2014.6
Enfermería                           ,      650.1376 ,  100 ,     2014.6
Español_Y_Filología_Clásica          ,      655.2502 ,   48 ,     2014.6
Estadística                          ,      650.8743 ,   61 ,     2014.6
Farmacia                             ,      651.0388 ,   73 ,     2014.6
Filología_e_Idiomas:_Alemán          ,      651.0865 ,   21 ,     2014.6
Filología_e_Idiomas:_Francés         ,      653.1514 ,   30 ,     2014.6
Filología_e_Idiomas:_Inglés          ,      650.0010 ,   42 ,     2014.6
Filosofía                            ,      663.7332 ,   46 ,     2014.6
Física                               ,      652.7345 ,   64 ,     2014.6
Fisioterapia                         ,      651.1450 ,   55 ,     2014.6
Geografía                            ,      652.7947 ,   27 ,     2014.6
Geología                             ,      726.3624 ,   33 ,     2014.6
Ingeniería_Agrícola                  ,      654.3166 ,   67 ,     2014.6
Ingeniería_Agronómica                ,      651.0063 ,   87 ,     2014.6
Ingeniería_Civil                     ,      675.5451 ,  111 ,     2014.6
Ingeniería_de_Sistemas_y_Computación ,      656.6424 ,   84 ,     2014.6
Ingeniería_Eléctrica                 ,      658.9682 ,   62 ,     2014.6
Ingeniería_Electrónica               ,      678.6770 ,   69 ,     2014.6
Ingeniería_Industrial                ,      704.5988 ,   45 ,     2014.6
Ingeniería_Mecánica                  ,      661.5951 ,   82 ,     2014.6
Ingeniería_Mecatrónica               ,      706.6304 ,   53 ,     2014.6
Ingeniería_Química                   ,      664.5718 ,  128 ,     2014.6
Lingüística                          ,      672.0055 ,   51 ,     2014.6
Matemáticas                          ,      655.5166 ,   48 ,     2014.6
Medicina                             ,      720.3835 ,  127 ,     2014.6
Medicina_Veterinaria                 ,      650.9577 ,   54 ,     2014.6
Nutrición_Y_Dietética                ,      652.2251 ,   50 ,     2014.6
Odontología                          ,      655.0625 ,   53 ,     2014.6
Psicología                           ,      651.1893 ,   80 ,     2014.6
Química                              ,      650.4921 ,   73 ,     2014.6
Sociología                           ,      650.5801 ,   56 ,     2014.6
Trabajo_Social                       ,      656.9482 ,   46 ,     2014.6
Zootecnia                            ,      611.2287 ,   55 ,     2014.6
Artes_Plásticas                      ,      583.8440 ,   32 ,     2014.6
Cine_Y_Televisión                    ,      601.1100 ,   28 ,     2014.6
Administración_de_Empresas           ,      662.9327 ,   73 ,     2015.1
Antropología                         ,      667.5091 ,   45 ,     2015.1
Arquitectura                         ,      697.5921 ,   72 ,     2015.1
Biología                             ,      686.4774 ,   57 ,     2015.1
Ciencia_Política                     ,      660.2486 ,   84 ,     2015.1
Contaduría_Pública                   ,      651.0734 ,   61 ,     2015.1
Derecho                              ,      690.7653 ,   80 ,     2015.1
Diseño_Gráfico                       ,      707.1765 ,   30 ,     2015.1
Diseño_Industrial                    ,      685.8003 ,   49 ,     2015.1
Economía                             ,      688.0547 ,   83 ,     2015.1
Enfermería                           ,      652.4870 ,   99 ,     2015.1
Español_Y_Filología_Clásica          ,      631.0228 ,   48 ,     2015.1
Estadística                          ,      652.2640 ,   61 ,     2015.1
Estudios_Literarios                  ,      675.3935 ,   39 ,     2015.1
Farmacia                             ,      658.9578 ,   73 ,     2015.1
Filología_e_Idiomas:_Alemán          ,      652.7857 ,   22 ,     2015.1
Filología_e_Idiomas:_Francés         ,      652.0226 ,   22 ,     2015.1
Filología_e_Idiomas:_Inglés          ,      650.6102 ,   44 ,     2015.1
Filosofía                            ,      649.9196 ,   50 ,     2015.1
Física                               ,      682.0483 ,   72 ,     2015.1
Fonoaudiología                       ,      622.5288 ,   59 ,     2015.1
Geografía                            ,      644.3060 ,   34 ,     2015.1
Geología                             ,      741.1403 ,   30 ,     2015.1
Historia                             ,      651.0263 ,   58 ,     2015.1
Ingeniería_Agrícola                  ,      651.0365 ,   67 ,     2015.1
Ingeniería_Agronómica                ,      651.0509 ,   91 ,     2015.1
Ingeniería_Civil                     ,      704.2613 ,  110 ,     2015.1
Ingeniería_de_Sistemas_y_Computación ,      703.9401 ,   84 ,     2015.1
Ingeniería_Eléctrica                 ,      680.8843 ,   58 ,     2015.1
Ingeniería_Electrónica               ,      722.2947 ,   58 ,     2015.1
Ingeniería_Industrial                ,      720.7829 ,   48 ,     2015.1
Ingeniería_Mecánica                  ,      706.5198 ,   78 ,     2015.1
Ingeniería_Mecatrónica               ,      773.0707 ,   41 ,     2015.1
Ingeniería_Química                   ,      696.6347 ,  127 ,     2015.1
Lingüística                          ,      630.4991 ,   45 ,     2015.1
Matemáticas                          ,      668.7202 ,   50 ,     2015.1
Medicina                             ,      749.6548 ,  126 ,     2015.1
Medicina_Veterinaria                 ,      651.5644 ,   54 ,     2015.1
Nutrición_y_Dietética                ,      639.7398 ,   51 ,     2015.1
Odontología                          ,      651.8160 ,   53 ,     2015.1
Psicología                           ,      670.1481 ,   80 ,     2015.1
Química                              ,      665.6188 ,   70 ,     2015.1
Sociología                           ,      651.7812 ,   56 ,     2015.1
Terapia_Ocupacional                  ,      622.8868 ,   59 ,     2015.1
Trabajo_Social                       ,      636.7284 ,   46 ,     2015.1
Zootecnia                            ,      624.9857 ,   50 ,     2015.1
Artes_Plasticas                      ,      607.4508 ,   30 ,     2015.1
Cine_y_Television                    ,      617.0164 ,   30 ,     2015.1
Administración_de_Empresas           ,      645.4196 ,   88 ,     2015.6
Antropología                         ,      646.1570 ,   45 ,     2015.6
Arquitectura                         ,      671.1814 ,   76 ,     2015.6
Biología                             ,      670.5920 ,   58 ,     2015.6
Ciencia_Política                     ,      629.4327 ,   84 ,     2015.6
Contaduría_Pública                   ,      627.8887 ,   64 ,     2015.6
Derecho                              ,      652.1400 ,   81 ,     2015.6
Diseño_Gráfico                       ,      691.3971 ,   30 ,     2015.6
Diseño_Industrial                    ,      665.3671 ,   49 ,     2015.6
Economía                             ,      650.1316 ,   93 ,     2015.6
Enfermería                           ,      629.0756 ,   90 ,     2015.6
Español_Y_Filología_Clásica          ,      625.0267 ,   38 ,     2015.6
Estadística                          ,      625.0211 ,   61 ,     2015.6
Farmacia                             ,      642.6718 ,   73 ,     2015.6
Filología_e_Idiomas:_Alemán          ,      629.1281 ,   22 ,     2015.6
Filología_e_Idiomas:_Francés         ,      635.6279 ,   22 ,     2015.6
Filología_e_Idiomas:_Inglés          ,      641.8252 ,   44 ,     2015.6
Filosofía                            ,      625.5526 ,   50 ,     2015.6
Física                               ,      650.2283 ,   72 ,     2015.6
Fisioterapia                         ,      626.3572 ,   55 ,     2015.6
Geografía                            ,      625.3467 ,   44 ,     2015.6
Geología                             ,      726.8179 ,   30 ,     2015.6
Ingeniería_Agrícola                  ,      625.1387 ,   77 ,     2015.6
Ingeniería_Agronómica                ,      624.7984 ,  110 ,     2015.6
Ingeniería_Civil                     ,      683.8091 ,  111 ,     2015.6
Ingeniería_de_Sistemas_y_Computación ,      664.4400 ,   99 ,     2015.6
Ingeniería_Eléctrica                 ,      660.7321 ,   61 ,     2015.6
Ingeniería_Electrónica               ,      687.2901 ,   63 ,     2015.6
Ingeniería_Industrial                ,      691.4998 ,   50 ,     2015.6
Ingeniería_Mecánica                  ,      681.4479 ,   78 ,     2015.6
Ingeniería_Mecatrónica               ,      727.4485 ,   41 ,     2015.6
Ingeniería_Química                   ,      661.9065 ,  127 ,     2015.6
Lingüística                          ,      625.2108 ,   40 ,     2015.6
Matemáticas                          ,      639.9828 ,   64 ,     2015.6
Medicina                             ,      727.9884 ,  127 ,     2015.6
Medicina_Veterinaria                 ,      642.6697 ,   54 ,     2015.6
Nutrición_y_Dietética                ,      625.0547 ,   53 ,     2015.6
Odontología                          ,      633.9242 ,   55 ,     2015.6
Psicología                           ,      657.7490 ,   65 ,     2015.6
Química                              ,      649.4720 ,   70 ,     2015.6
Sociología                           ,      628.3510 ,   56 ,     2015.6
Trabajo_Social                       ,      624.4375 ,   46 ,     2015.6
Zootecnia                            ,      621.2993 ,   50 ,     2015.6
Artes_Plasticas                      ,      675.7700 ,   28 ,     2015.6
Cine_y_Television                    ,      714.8752 ,   28 ,     2015.6
Administración_de_Empresas           ,      665.7784 ,   71 ,     2016.1
Antropología                         ,      651.5817 ,   45 ,     2016.1
Arquitectura                         ,      681.9261 ,   76 ,     2016.1
Biología                             ,      684.4595 ,   58 ,     2016.1
Ciencia_Política                     ,      649.7777 ,   84 ,     2016.1
Contaduría_Pública                   ,      650.3425 ,   62 ,     2016.1
Derecho                              ,      676.8533 ,   81 ,     2016.1
Diseño_Gráfico                       ,      689.4558 ,   30 ,     2016.1
Diseño_Industrial                    ,      672.1865 ,   50 ,     2016.1
Economía                             ,      680.6339 ,   85 ,     2016.1
Enfermería                           ,      646.5992 ,   89 ,     2016.1
Español_Y_Filología_Clásica          ,      627.7220 ,   36 ,     2016.1
Estadística                          ,      650.7542 ,   61 ,     2016.1
Estudios_Literarios                  ,      662.8329 ,   37 ,     2016.1
Farmacia                             ,      662.7175 ,   73 ,     2016.1
Filología_e_Idiomas:_Alemán          ,      650.2425 ,   22 ,     2016.1
Filología_e_Idiomas:_Francés         ,      650.4033 ,   22 ,     2016.1
Filología_e_Idiomas:_Inglés          ,      653.6367 ,   44 ,     2016.1
Filosofía                            ,      643.7402 ,   50 ,     2016.1
Física                               ,      690.9480 ,   71 ,     2016.1
Fonoaudiología                       ,      625.3415 ,   70 ,     2016.1
Geografía                            ,      633.1594 ,   47 ,     2016.1
Geología                             ,      725.2180 ,   31 ,     2016.1
Historia                             ,      631.9162 ,   60 ,     2016.1
Ingeniería_Agrícola                  ,      650.1425 ,   68 ,     2016.1
Ingeniería_Agronómica                ,      644.5560 ,   94 ,     2016.1
Ingeniería_Civil                     ,      700.3935 ,  111 ,     2016.1
Ingeniería_de_Sistemas_y_Computación ,      693.8932 ,   94 ,     2016.1
Ingeniería_Eléctrica                 ,      693.7442 ,   58 ,     2016.1
Ingeniería_Electrónica               ,      714.3960 ,   63 ,     2016.1
Ingeniería_Industrial                ,      713.9273 ,   40 ,     2016.1
Ingeniería_Mecánica                  ,      701.0072 ,   78 ,     2016.1
Ingeniería_Mecatrónica               ,      776.7632 ,   41 ,     2016.1
Ingeniería_Química                   ,      692.5187 ,  127 ,     2016.1
Lingüística                          ,      626.1513 ,   40 ,     2016.1
Matemáticas                          ,      671.4806 ,   50 ,     2016.1
Medicina                             ,      749.5229 ,  125 ,     2016.1
Medicina_Veterinaria                 ,      652.9112 ,   53 ,     2016.1
Nutrición_y_Dietética                ,      648.4914 ,   45 ,     2016.1
Odontología                          ,      650.1797 ,   46 ,     2016.1
Psicología                           ,      661.0233 ,   80 ,     2016.1
Química                              ,      671.7002 ,   70 ,     2016.1
Sociología                           ,      641.6500 ,   58 ,     2016.1
Terapia_Ocupacional                  ,      625.2591 ,   60 ,     2016.1
Trabajo_Social                       ,      637.4165 ,   46 ,     2016.1
Zootecnia                            ,      627.2200 ,   55 ,     2016.1
Artes_Plasticas                      ,      608.6616 ,   28 ,     2016.1
Cine_y_Television                    ,      610.7729 ,   28 ,     2016.1
Musica_Composicion                   ,      722.4895 ,    4 ,     2016.1
Musica_Inst_Arpa                     ,      668.1174 ,    1 ,     2016.1
Musica_Inst_Canto                    ,      659.2228 ,    3 ,     2016.1
Musica_Inst_Clarinete                ,      617.6302 ,    1 ,     2016.1
Musica_Inst_Contrabajo               ,      626.8921 ,    3 ,     2016.1
Musica_Inst_Corno                    ,      627.5729 ,    1 ,     2016.1
Musica_Inst_Flauta                   ,      609.4535 ,    1 ,     2016.1
Musica_Inst_Guitarra                 ,      715.6061 ,    3 ,     2016.1
Musica_Inst_Percusion                ,      650.7221 ,    3 ,     2016.1
Musica_Inst_Piano                    ,      679.6985 ,    8 ,     2016.1
Musica_Inst_Saxofon                  ,      631.7758 ,    6 ,     2016.1
Musica_Inst_Trombon                  ,      617.0940 ,    6 ,     2016.1
Musica_Inst_Trompeta                 ,      606.1554 ,    6 ,     2016.1
Musica_Inst_Tuba                     ,      673.0697 ,    6 ,     2016.1
Musica_Inst_Violin                   ,      663.5534 ,    6 ,     2016.1
Musica_Inst_Violonchelo              ,      662.1221 ,    1 ,     2016.1
Administración_de_Empresas           ,      632.2508 ,   75 ,     2016.6
Antropología                         ,      646.0968 ,   45 ,     2016.6
Arquitectura                         ,      653.5468 ,   76 ,     2016.6
Biología                             ,      666.0359 ,   63 ,     2016.6
Ciencia_Política                     ,      625.2211 ,   84 ,     2016.6
Contaduría_Pública                   ,      625.2531 ,   62 ,     2016.6
Derecho                              ,      650.4213 ,   80 ,     2016.6
Diseño_Gráfico                       ,      647.8270 ,   30 ,     2016.6
Diseño_Industrial                    ,      651.1424 ,   48 ,     2016.6
Economía                             ,      650.6005 ,   85 ,     2016.6
Enfermería                           ,      632.9143 ,  100 ,     2016.6
Español_Y_Filología_Clásica          ,      611.4690 ,   36 ,     2016.6
Estadística                          ,      626.9876 ,   60 ,     2016.6
Farmacia                             ,      645.6424 ,   73 ,     2016.6
Filología_e_Idiomas:_Alemán          ,      624.5905 ,   22 ,     2016.6
Filología_e_Idiomas:_Francés         ,      624.3003 ,   22 ,     2016.6
Filología_e_Idiomas:_Inglés          ,      629.2149 ,   46 ,     2016.6
Filosofía                            ,      615.5396 ,   50 ,     2016.6
Física                               ,      640.4432 ,   72 ,     2016.6
Fisioterapia                         ,      631.7110 ,   55 ,     2016.6
Geografía                            ,      613.6194 ,   50 ,     2016.6
Geología                             ,      717.5520 ,   31 ,     2016.6
Ingeniería_Agrícola                  ,      611.8146 ,  105 ,     2016.6
Ingeniería_Agronómica                ,      613.6109 ,  130 ,     2016.6
Ingeniería_Civil                     ,      659.3646 ,  111 ,     2016.6
Ingeniería_de_Sistemas_y_Computación ,      656.6936 ,   97 ,     2016.6
